#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
3300002346_41055     -          aln                  -           1.4e-289  951.4   0.0   4.9e-06   42.5   0.0  41.0  40   0   0  40  40  38  31 -
3300002344_44772     -          aln                  -           3.2e-271  892.5  38.2   0.00092   35.2   0.0  51.0  51   0   0  51  51  44  29 -
3300002344_43716     -          aln                  -           1.9e-270  890.1  21.0   0.00029   36.8   0.0  54.4  54   0   0  54  54  45  23 -
3300004507_9190      -          aln                  -           1.1e-269  887.6   9.6   2.7e-07   46.6   0.1  28.5  28   0   0  28  28  28  27 -
3300004803_2873207   -          aln                  -           9.5e-261  859.0   9.6    0.0001   38.3   0.0  36.3  36   0   0  36  36  35  28 -
3300018924_1         -          aln                  -           2.9e-241  796.5  16.6     0.028   30.5   0.0  57.8  57   0   0  57  57  41  16 -
3300003684_25959     -          aln                  -           6.3e-241  795.4   3.7   5.3e-07   45.6   0.0  30.6  30   0   0  30  30  29  24 -
3300032168_404       -          aln                  -           6.8e-240  792.1   2.3   1.4e-06   44.3   0.1  25.5  25   0   0  25  25  25  24 -
3300033525_20        -          aln                  -           7.2e-237  782.4   0.0     0.029   30.4   0.0  42.9  44   0   0  44  44  36  22 -
3300013075_43987     -          aln                  -           1.5e-217  720.5  24.9     3e-07   46.4   0.0  27.7  28   0   0  28  28  27  21 -
3300018789_4         -          aln                  -           1.5e-212  704.5  38.5   2.1e-05   40.5   0.0  37.9  37   0   0  37  37  32  18 -
3300012733_29976     -          aln                  -           1.4e-192  640.4  20.1     0.055   29.5   0.0  37.0  37   0   0  37  37  30  16 -
2630968540_2433      -          aln                  -           5.6e-189  628.9 137.7   0.00073   35.5   0.0  27.4  25   0   0  25  25  25  25 -
3300030665_2547      -          aln                  -           5.3e-183  609.8   0.0   0.00094   35.2   0.0  25.3  25   0   0  25  25  22  21 -
2507525036_7293      -          aln                  -           9.7e-182  605.7  39.4   6.6e-06   42.1   0.0  23.8  22   1   0  22  22  21  17 -
3300037022_3         -          aln                  -           9.1e-164  548.1  22.9      0.52   26.4   0.0  54.4  58   0   0  58  58  33   5 -
3300018994_754       -          aln                  -           3.3e-161  539.9  38.4   2.3e-05   40.4   0.1  18.4  18   0   0  18  18  18  18 -
3300030698_17119     -          aln                  -           1.9e-156  524.6   0.0    0.0023   34.0   0.0  21.4  21   0   0  21  21  19  17 -
3300030678_4666      -          aln                  -           1.8e-155  521.6   3.4   5.1e-05   39.2   0.0  22.8  22   0   0  22  22  22  15 -
