#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
3300002343_52766     -          aln                  -                  0 1370.4  14.7     1e-07   47.9   0.0  54.3  54   0   0  54  54  50  44 -
3300018893_9         -          aln                  -                  0 1234.4  66.0     1e-05   41.5   0.0  44.7  44   0   0  44  44  44  39 -
3300022599_165639    -          aln                  -                  0 1150.1 121.4   1.5e-05   41.0   0.0  43.0  42   0   0  42  42  41  38 -
3300018953_1         -          aln                  -                  0 1110.7   0.0     0.012   31.6   0.0  65.1  65   0   0  65  65  52  29 -
3300024992_192922    -          aln                  -                  0 1079.3  58.4   0.00023   37.2   0.0  56.9  58   0   0  58  58  48  31 -
3300018789_44        -          aln                  -           1.9e-279  918.9   0.0   1.6e-05   40.9   0.0  35.7  35   0   0  35  35  35  32 -
3300002344_42236     -          aln                  -           1.8e-272  896.6   9.9   1.5e-06   44.1   0.7  34.8  34   0   0  34  34  32  26 -
3300008015_98378     -          aln                  -           2.3e-271  893.0   0.3   8.1e-09   51.4   0.0  23.2  23   0   0  23  23  23  21 -
3300033533_34        -          aln                  -           1.2e-268  884.4   9.2   3.3e-07   46.3   0.0  35.7  35   0   0  35  35  34  31 -
3300012687_98755     -          aln                  -           4.8e-236  779.8  20.7    0.0009   35.3   0.1  46.3  46   0   0  46  46  40  19 -
3300013075_124041    -          aln                  -           4.2e-235  776.8   1.4   1.3e-08   50.8   0.0  33.8  34   0   0  34  34  30  19 -
3300035299_1         -          aln                  -           6.4e-224  740.9   0.1   1.6e-07   47.3   0.0  24.0  23   0   0  23  23  23  19 -
3300008044_126182    -          aln                  -           1.6e-211  701.2  31.2     0.023   30.7   0.0  40.9  40   0   0  40  40  36  18 -
3300018789_7         -          aln                  -             2e-203  675.3  37.9     3e-05   40.0   0.0  37.5  38   0   0  38  38  31  17 -
3300018953_16        -          aln                  -           6.9e-200  663.9  23.6   2.7e-05   40.1   0.0  31.7  34   0   0  34  34  28  23 -
3300008037_191951    -          aln                  -           4.3e-196  651.7  83.5     2e-05   40.6   1.0  23.9  23   1   0  23  23  23  21 -
3300036281_16        -          aln                  -           7.8e-191  634.9  43.7    0.0007   35.6   0.0  38.6  39   0   0  39  39  33  16 -
3300008013_927883    -          aln                  -           4.2e-186  619.7   5.1   2.2e-05   40.4   0.0  20.4  20   0   0  20  20  20  19 -
3300013075_104718    -          aln                  -           6.2e-174  580.7   9.5   1.5e-05   40.9   0.0  20.4  20   0   0  20  20  20  18 -
3300037029_2         -          aln                  -           6.6e-168  561.4  26.4     0.049   29.7   0.0  40.4  39   0   0  39  39  30  13 -
3300013075_24846     -          aln                  -           8.4e-164  548.2   0.0   3.4e-08   49.4   0.0  19.3  19   0   0  19  19  18  15 -
3300008043_56743     -          aln                  -           1.3e-162  544.4  30.5     0.018   31.1   0.0  27.7  27   0   0  27  27  24  19 -
3300036163_130       -          aln                  -           1.5e-161  541.0  23.4   4.6e-06   42.6   0.0  25.1  25   0   0  25  25  22  16 -
3300036811_1         -          aln                  -             2e-161  540.6  55.3    0.0032   33.5   0.1  52.2  54   0   0  54  54  27   8 -
3300018792_120       -          aln                  -           3.4e-154  517.4   0.1   3.3e-05   39.8   0.1  24.4  23   1   1  24  24  22  16 -
3300022365_15        -          aln                  -           3.3e-153  514.3   0.6     6e-08   48.6   1.1  16.5  16   0   0  16  16  16  15 -
3300008006_121981    -          aln                  -           5.6e-150  503.9  11.5   5.5e-08   48.7   0.0  14.2  14   0   0  14  14  13  13 -
3300018789_279       -          aln                  -           6.8e-145  487.6   0.0    0.0025   33.8   0.0  21.5  21   0   0  21  21  21  16 -
3300013075_10869     -          aln                  -           2.3e-143  482.7   4.3   0.00055   35.9   0.0  25.9  25   0   0  25  25  21  13 -
3300002345_34616     -          aln                  -           1.4e-139  470.5   9.4   1.8e-05   40.7   0.0  24.9  24   0   0  24  24  20  14 -
3300022597_42174     -          aln                  -             1e-138  467.8   0.0   3.8e-08   49.3   0.1  12.2  12   0   0  12  12  12  12 -
3300036424_70        -          aln                  -           1.5e-136  460.9   0.7     2e-05   40.5   0.0  15.8  15   0   0  15  15  15  14 -
3300009132_106619    -          aln                  -           4.1e-132  446.6   0.0   4.5e+02   17.0   0.0  47.9  47   0   0  47  47  24   0 -
3300036281_15        -          aln                  -           1.4e-130  441.7   0.0    0.0014   34.7   0.0  25.9  25   0   0  25  25  23   9 -
3300036811_67        -          aln                  -           5.7e-130  439.8  25.9     0.093   28.8   0.1  30.9  29   0   0  29  29  24   9 -
3300012394_105557    -          aln                  -           6.3e-124  420.4  12.0   2.4e-05   40.3   0.0  15.3  15   0   0  15  15  15  13 -
3300037029_117       -          aln                  -           5.4e-123  417.4  48.7    0.0053   32.8   0.0  37.5  39   0   0  39  39  21   7 -
3300004624_12411     -          aln                  -           2.5e-121  412.1   0.0   1.8e-05   40.7   0.0  15.4  15   0   0  15  15  15  14 -
3300024992_110508    -          aln                  -             5e-117  398.3   0.0    0.0042   33.1   0.0  17.5  17   0   0  17  17  17  12 -
3300008013_95448     -          aln                  -           2.3e-116  396.2   0.7   2.1e-06   43.7   0.0  13.4  13   0   0  13  13  13  12 -
3300008015_144519    -          aln                  -           1.3e-115  393.8   0.0   4.3e-08   49.1   0.0  10.2  10   0   0  10  10  10  10 -
3300005589_216666    -          aln                  -             3e-111  379.8  86.9        70   19.6   0.0  33.7  33   0   0  33  33  30   7 -
3300021316_95426     -          aln                  -           4.3e-110  376.1  15.2   2.4e-06   43.5   0.0  13.8  13   0   0  13  13  12  12 -
3300019029_5360      -          aln                  -           1.2e-109  374.6   5.7   0.00013   37.9   0.0  14.1  14   0   0  14  14  13  13 -
3300013075_11131     -          aln                  -           2.5e-108  370.4   0.0   3.5e-05   39.8   0.0  15.5  15   0   0  15  15  15  10 -
3300008040_243417    -          aln                  -           5.2e-108  369.4  60.6   0.00017   37.6   0.0  21.6  17   9   0  17  17  16  14 -
3300012394_352037    -          aln                  -           7.3e-108  368.9   0.0     7e-08   48.4   0.0  12.6  12   0   0  12  12  12  11 -
3300033164_77469     -          aln                  -           1.7e-106  364.6 102.7     0.069   29.2   0.0  28.3  28   0   0  28  28  23  12 -
3300008046_122280    -          aln                  -             7e-106  362.6   0.0   2.4e-06   43.5   0.0  11.3  11   0   0  11  11  11  11 -
3300013075_81637     -          aln                  -           1.5e-105  361.5   0.0   3.4e-07   46.2   0.0  10.5  10   0   0  10  10  10  10 -
3300021313_47114     -          aln                  -           4.4e-105  360.0  20.7   5.6e-05   39.1   0.1  13.1  12   0   0  12  12  12  12 -
2816332426_646       -          aln                  -           9.2e-104  355.8  17.7       1.5   24.9   0.0  29.7  28   0   0  28  28  17   6 -
2507525020_22095     -          aln                  -           1.2e-103  355.4 140.4    0.0031   33.5   0.2  28.5  29   1   0  29  29  18  14 -
3300036281_62        -          aln                  -           2.5e-100  344.8   0.0     6e-08   48.7   0.1  11.8  11   0   0  11  11  11   7 -
3300018897_311       -          aln                  -            1.6e-99  342.2  24.0   7.4e-05   38.7   0.1  13.3  12   0   0  12  12  12  10 -
3300036435_370       -          aln                  -            3.9e-99  340.9  36.4   0.00055   35.9   0.3  20.1  20   0   0  20  20  16  10 -
3300012394_300598    -          aln                  -            1.4e-98  339.1   2.7     2e-05   40.5   0.0  12.1  11   0   0  11  11  11  10 -
3300037015_25        -          aln                  -              6e-98  337.1  55.9     0.077   29.1   0.1  36.5  39   0   0  39  39  20   4 -
3300036435_3580      -          aln                  -            7.2e-98  336.9   8.9   9.8e-08   48.0   0.1  10.2  10   0   0  10  10  10   9 -
3300009756_90201     -          aln                  -            4.6e-95  327.9  20.0       1.3   25.1   0.0  24.3  24   0   0  24  24  18   7 -
3300008046_146653    -          aln                  -            3.7e-92  318.6   0.2   1.1e-07   47.8   0.0   8.3   8   0   0   8   8   8   8 -
3300032757_47        -          aln                  -            5.1e-91  314.9  25.4   0.00027   36.9   0.0  14.1  13   0   0  13  13  13  12 -
