#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
2507525012_16919     -          aln                  -                  0 1311.9  21.9   7.8e-07   45.1   0.0  78.7  78   1   0  78  78  65  26 -
2507525036_18867     -          aln                  -                  0 1148.4  30.8   2.3e-05   40.4   0.1  35.3  35   0   0  35  35  35  35 -
2507525001_7265      -          aln                  -                  0 1035.2 110.9   0.00038   36.4   0.1  71.9  71   0   0  71  71  58  26 -
2507525030_16856     -          aln                  -           2.4e-265  873.7   0.0   1.9e-06   43.9   0.1  34.7  34   0   0  34  34  32  27 -
2507525030_13245     -          aln                  -           1.1e-244  807.5   6.4   1.7e-07   47.2   0.0  29.1  28   1   0  28  28  27  24 -
3300036489_130       -          aln                  -           9.7e-227  750.0   0.0   3.4e-06   43.0   0.1  23.5  23   0   0  23  23  23  22 -
3300012732_243154    -          aln                  -           2.4e-192  639.7   0.1   3.3e-05   39.8   0.1  26.2  25   0   0  25  25  24  19 -
3300002341_25656     -          aln                  -           4.2e-189  629.3  51.0   1.7e-06   44.0   0.0  39.3  39   0   0  39  39  31  14 -
3300036489_89        -          aln                  -           1.2e-183  611.8  16.2   1.7e-06   44.0   0.0  20.7  20   0   0  20  20  20  18 -
3300004624_102190    -          aln                  -           3.8e-177  591.0  35.0   9.3e-06   41.6   0.0  31.3  30   0   0  30  30  28  17 -
3300019005_297       -          aln                  -           8.1e-165  551.5   0.0     0.092   28.8   0.0  36.3  36   0   0  36  36  30  10 -
2507525006_10578     -          aln                  -           1.2e-163  547.7  25.8   0.00059   35.9   0.0  23.8  23   0   0  23  23  22  19 -
2507525020_24341     -          aln                  -           2.2e-160  537.3 149.1   1.8e-05   40.7   0.1  37.9  37   1   0  38  38  29  17 -
